frame,gnd_ana,gnd_mag,gnd_gain,gnd_centering,gnd_shadow
image0001.jpg,6,0,0,0,0
image0002.jpg,0,0,0,0,0
image0003.jpg,8,0,0,0,0
image0004.jpg,8,0,0,0,0
image0005.jpg,2,0,0,1,0
image0006.jpg,1,2,0,0,0
image0007.jpg,7,0,2,0,1
image0008.jpg,4,0,0,4,0
image0009.jpg,3,0,0,1,1
image0010.jpg,5,0,0,0,0
image0001_step1.jpg,6,2,1,2,0
image0001_step2.jpg,6,1,2,4,0
image0001_step3.jpg,6,0,0,3,0
image0002_step1.jpg,0,2,2,1,0
image0002_step2.jpg,0,1,1,2,0
image0002_step3.jpg,0,0,0,4,0
image0007_step3.jpg,7,0,2,1,1
image0010_step1.jpg,5,2,1,0,0
image0010_step2.jpg,5,1,2,1,0
image0010_step3.jpg,5,0,0,3,0
